output	iD4TE2fNfU	69.113.239.204	200	2011-01-29 17:05:10	temp.gz	cart4.barnesandnoble.co													Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+6.1;+WOW64;+Trident/4.0;+GTB6.6;+SLCC2;+.NET+CLR+2.0.5	/op/request.aspx	signin	15				C_CONS_cart										9.85	1											http://cart4.barnesandnoble.com/op/request.aspx	iD4TE2fNgU												
output	pV3t4EQJUj	173.19.95.147	200	2011-01-29 17:07:07	temp.gz	cart4.barnesandnoble.co							J000001284						Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+6.0;+WOW64;+Trident/4.0;+SLCC1;+.NET+CLR+2.0.50727;+Me	/op/Request.aspx	fullcart	546	5247801544			C_CONS_cart									T	34.31	11			hYbBl6RAdBbvDpA8								https://cart4.barnesandnoble.com/op/Request.aspx	eW6A61fNPh												
output	E90xF2fNyW	71.246.92.177	200	2011-01-29 17:07:35	temp.gz	cart4.barnesandnoble.co													Mozilla/5.0+(Windows;+U;+Windows+NT+6.1;+en-US;+rv:1.9.2.13)+Gecko/20101203+Firefox/3.6.13	/favicon.ico																												-													
output	kH0jmcpMiM	76.107.199.53	302	2011-01-29 17:07:52	temp.gz	cart4.barnesandnoble.co							Q000000630						Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+6.1;+Win64;+x64;+Trident/4.0;+.NET+CLR+2.0.50727;+SLCC	/quicksearch/quicksearch.aspx		33																			allproducts	9781582555607						http://cart4.barnesandnoble.com/op/request.aspx	9m0OC2fNpw												
output	Qb1pnVbNUn	198.82.96.29	302	2011-01-29 17:08:58	temp.gz	cart4.barnesandnoble.co													Mozilla/5.0+(Windows;+U;+Windows+NT+6.1;+en-US)+AppleWebKit/534.10+(KHTML,+like+Gecko)+Chrome/8.0.55	/quicksearch/quicksearch.aspx		28																			allproducts	book+of+margery+kempe+lynn+staley						http://cart4.barnesandnoble.com/op/request.aspx	vD5E52fNTS												
output	F24z4ceNmG	116.14.109.23	200	2011-01-29 17:09:19	temp.gz	cart4.barnesandnoble.co													Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+6.1;+Trident/4.0;+GTB6.6;+SLCC2;+.NET+CLR+2.0.50727;+.	/account/Request.aspx	orderstatussignin	6				C_CONS_account														hsaaOviWHmsjgNhD								https://cart4.barnesandnoble.com/account/request.aspx	4y3PK2fNbg												
output	F24122fNUn	69.117.210.1	200	2011-01-29 17:18:15	temp.gz	cart4.barnesandnoble.co													Mozilla/5.0+(Macintosh;+U;+Intel+Mac+OS+X+10_6_6;+en-us)+AppleWebKit/533.19.4+(KHTML,+like+Gecko)+Ve	/op/request.aspx	fullcart	30	5306600988			C_CONS_cart									T	30.21	2			JLvgAdQgYAQXIRj8					editCart			-	F24122fNVn												
output	yX0fJGDNYa	64.131.162.139	200	2011-01-29 17:18:19	temp.gz	cart4.barnesandnoble.co													Mozilla/4.0+(compatible;+MSIE+7.0;+Windows+NT+6.0;+SLCC1;+.NET+CLR+2.0.50727;+MDDC;+.NET+CLR+3.5.307	/op/request.aspx	signin	17	5220902381			C_CONS_cart										13.49	1											http://cart4.barnesandnoble.com/op/request.aspx	iD47K2fNbL												
output	Qp3BIhRNcu	98.223.77.245	200	2011-01-29 17:20:48	temp.gz	cart4.barnesandnoble.co													Mozilla/5.0+(Windows;+U;+Windows+NT+6.1;+en-US)+AppleWebKit/534.13+(KHTML,+like+Gecko)+Chrome/9.0.59	/account/request.aspx	mainstage	31				C_CONS_account									T					fE7ApPaFI1mXJga3					viewOrderStatus			https://cart4.barnesandnoble.com/account/request.aspx	aw7FS2fNdD								11				
output	xH7jCdlLg2	66.76.235.59	302	2011-01-29 17:21:10	temp.gz	cart4.barnesandnoble.co													Mozilla/4.0+(compatible;+MSIE+8.0;+Windows+NT+5.1;+Trident/4.0;+GTB5;+.NET+CLR+1.0.3705;+.NET+CLR+1.	/op/Request.aspx	itemadded	12	5077704285			C_CONS_cart										34.69	3			8X7yaK6GK7mXJga3					itemContinue			http://cart4.barnesandnoble.com/op/request.aspx	aw7aR2fNI7												
